#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A4216E,,,
#Date Time: 2020-04-30 20:02:49.283,,,
#Sample rate: 800Hz,,,
#Samples: 4922,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 20 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),,
-3.4475,0.0478106,0.0478106,0.0478106
-3.44625,0.0491458,0.0491458,0.0491458
-3.445,0.0474768,0.0474768,0.0474768
-3.44375,0.0461416,0.0461416,0.0461416
-3.4425,0.0448064,0.0448064,0.0448064
-3.44125,0.0451402,0.0451402,0.0451402
-3.44,0.0461416,0.0461416,0.0461416
-3.43875,0.0461416,0.0461416,0.0461416
-3.4375,0.043805,0.043805,0.043805
-3.43625,0.0441388,0.0441388,0.0441388
-3.435,0.0448064,0.0448064,0.0448064
-3.43375,0.0461416,0.0461416,0.0461416
-3.4325,0.0468092,0.0468092,0.0468092
-3.43125,0.0468092,0.0468092,0.0468092
-3.43,0.0464754,0.0464754,0.0464754
-3.42875,0.0464754,0.0464754,0.0464754
-3.4275,0.0474768,0.0474768,0.0474768
-3.42625,0.0491458,0.0491458,0.0491458
-3.425,0.0474768,0.0474768,0.0474768
-3.42375,0.045474,0.045474,0.045474
-3.4225,0.0444726,0.0444726,0.0444726
-3.42125,0.0448064,0.0448064,0.0448064
-3.42,0.0458078,0.0458078,0.0458078
-3.41875,0.045474,0.045474,0.045474
-3.4175,0.043805,0.043805,0.043805
-3.41625,0.0431374,0.0431374,0.0431374
-3.415,0.0444726,0.0444726,0.0444726
-3.41375,0.0458078,0.0458078,0.0458078
-3.4125,0.0464754,0.0464754,0.0464754
-3.41125,0.0464754,0.0464754,0.0464754
-3.41,0.0464754,0.0464754,0.0464754
-3.40875,0.0461416,0.0461416,0.0461416
-3.4075,0.0474768,0.0474768,0.0474768
-3.40625,0.0494796,0.0494796,0.0494796
-3.405,0.0478106,0.0478106,0.0478106
-3.40375,0.0458078,0.0458078,0.0458078
-3.4025,0.0448064,0.0448064,0.0448064
-3.40125,0.0451402,0.0451402,0.0451402
-3.4,0.0461416,0.0461416,0.0461416
-3.39875,0.0458078,0.0458078,0.0458078
-3.3975,0.043805,0.043805,0.043805
-3.39625,0.0441388,0.0441388,0.0441388
-3.395,0.0448064,0.0448064,0.0448064
-3.39375,0.0461416,0.0461416,0.0461416
-3.3925,0.0468092,0.0468092,0.0468092
-3.39125,0.0468092,0.0468092,0.0468092
-3.39,0.0464754,0.0464754,0.0464754
-3.38875,0.0464754,0.0464754,0.0464754
-3.3875,0.0474768,0.0474768,0.0474768
-3.38625,0.0494796,0.0494796,0.0494796
-3.385,0.0478106,0.0478106,0.0478106
-3.38375,0.0458078,0.0458078,0.0458078
-3.3825,0.0451402,0.0451402,0.0451402
-3.38125,0.0451402,0.0451402,0.0451402
-3.38,0.0461416,0.0461416,0.0461416
-3.37875,0.0458078,0.0458078,0.0458078
-3.3775,0.0441388,0.0441388,0.0441388
-3.37625,0.043805,0.043805,0.043805
-3.375,0.0448064,0.0448064,0.0448064
-3.37375,0.0458078,0.0458078,0.0458078
-3.3725,0.0468092,0.0468092,0.0468092
-3.37125,0.0464754,0.0464754,0.0464754
-3.37,0.0464754,0.0464754,0.0464754
-3.36875,0.0461416,0.0461416,0.0461416
-3.3675,0.0478106,0.0478106,0.0478106
-3.36625,0.0494796,0.0494796,0.0494796
-3.365,0.0478106,0.0478106,0.0478106
-3.36375,0.0458078,0.0458078,0.0458078
-3.3625,0.0451402,0.0451402,0.0451402
-3.36125,0.0451402,0.0451402,0.0451402
-3.36,0.0461416,0.0461416,0.0461416
-3.35875,0.0458078,0.0458078,0.0458078
-3.3575,0.0441388,0.0441388,0.0441388
-3.35625,0.0441388,0.0441388,0.0441388
-3.355,0.0448064,0.0448064,0.0448064
